Protein_ID,C3H-HeJ_BSL_AVG,C3H-HeJ_FLT_AVG,C3H-HeJ_GC_AVG,C3H-HeJ_VIV_AVG,C57-6J_BSL_AVG,C57-6J_FLT_AVG,C57-6J_GC_AVG,C57-6J_VIV_AVG
ENSMUSG00000000001,7833.879926346646,7615.407569587456,10267.309779371668,8691.514936538275,7040.3968414795945,7490.191742774392,7564.7159810204885,8293.127097813709
ENSMUSG00000000028,69.6433877088634,87.70533625716482,70.9661878566359,89.6750277389622,69.49736430469686,70.48318623612249,74.65552055565277,86.73825749829386
ENSMUSG00000000037,117.68171412521832,117.11872585850449,163.47796676675435,115.68463766568645,20.54359437164769,47.28682653947188,24.243523464296214,38.79966821342573
ENSMUSG00000000056,2782.270288780961,2666.528187717948,2789.84798991258,2865.447908490714,2611.8171239552403,2174.565952673709,2320.6399634026343,2301.879067864525
ENSMUSG00000000058,3967.7704788035253,3814.1890427128264,5931.660816303036,4051.7969165359655,3373.9791624719933,3718.8561916885433,3955.5437770602284,4010.701978421594
ENSMUSG00000000078,2759.2272331314766,3214.924513643891,3809.7114702779822,3366.386745310243,2855.7168687391454,3321.4270575839028,3153.889231418039,3446.5215947434945
ENSMUSG00000000085,620.0501013304915,638.3252805327777,582.8674750034237,589.1021555572461,647.7978866305389,649.9553422788525,660.8806578749444,584.8911389420443
ENSMUSG00000000088,10593.998661398748,9346.404017385526,11849.53450851546,10811.913034003366,11778.354832118033,10342.606921209659,11143.503586987092,11516.68128573146
ENSMUSG00000000093,1278.6011205840186,1459.665312360216,1037.1249394112483,1229.9748269195939,1219.7413623394584,1390.0211128670464,1145.4288422298064,1119.213614662651
ENSMUSG00000000120,46.55868405364327,76.50154754681343,77.16115806636915,63.49949358226949,71.82052997070268,147.8827730229872,83.39179874656466,109.24954520240269
ENSMUSG00000000126,51.81810646043665,57.985756277931706,42.36736512642885,48.16445114079981,77.70406944631607,66.51562977888358,66.14535276181564,71.33047690763642
ENSMUSG00000000127,877.9482521217346,866.4019515901728,1068.978014980364,950.4346231502934,841.7203355688183,923.9556920215731,907.5310590318521,963.4220594244747
ENSMUSG00000000131,1859.1539667039078,1859.4048285843178,1949.2366894592772,1713.924320433336,1806.2094063272955,1881.717068922472,1778.594195835429,1584.333745848364
ENSMUSG00000000134,807.6884651431795,841.9332139892073,662.7326350186606,752.3054200258978,776.4773074520933,797.8702971777122,774.2259130561231,708.4032911267391
ENSMUSG00000000142,128.81957347303316,124.8091065857734,106.45838363039991,121.0294138396599,156.53931973060085,166.71311150432544,150.61576368874697,149.7393695561066
ENSMUSG00000000148,587.1489831077794,609.6923164214488,498.84483246677644,558.3348612552317,561.855300709802,556.4128003205558,550.8377434207339,519.4256607601437
ENSMUSG00000000149,5687.793901696063,5216.776851210592,4529.891986570932,4774.949447978272,5159.108715743812,4953.087682878589,4995.433532789434,4454.123530759265
ENSMUSG00000000154,9862.645773032007,8457.406103983394,6541.040204833728,7075.345661092509,10214.823778951755,8388.537602000451,9696.680902141887,7451.968608045497
ENSMUSG00000000159,2389.8721373823387,2080.036509316827,2312.159424685366,2300.06794713097,2330.989400248361,1941.75038646858,2156.020089672727,2030.733650020961
ENSMUSG00000000167,144.47658194729735,135.50639270945803,174.54765154689568,164.345457100955,122.25565640068817,129.3331082028856,108.05808073192154,142.65417541621787
ENSMUSG00000000168,6944.877809492913,7493.224694780105,8361.001018131563,8550.32387331533,7055.452931910373,7271.507745701669,7093.318372777208,7600.749759039388
ENSMUSG00000000171,14383.132944703377,11668.26927501988,13628.277455082341,12070.29185293478,14034.16165256969,11374.422331824582,12758.081806397466,11668.70940625781
ENSMUSG00000000184,1318.099371303819,1400.983130092709,1296.4892519298542,1361.052038499351,1318.964736934009,1443.335178840266,1528.4020537895299,1302.4443944823702
ENSMUSG00000000194,2287.9135868376143,2283.383584281787,2454.6613396700777,2480.203252402116,2116.8242628916955,2153.222397436512,2165.620293170247,2322.2503242272533
ENSMUSG00000000197,50.571915366054625,36.19213846966039,43.258132832942536,41.25254492705153,34.205013061677406,37.08381735467303,40.207656038058055,30.479895413651718
ENSMUSG00000000216,2743.1966703922544,3114.106300072792,2820.074218278107,3036.594237730927,2330.2658700253355,2219.141598889824,2172.4293102165134,2362.234962373737
ENSMUSG00000000223,9.088514709525176,9.482361945087387,9.50444520230408,9.578977076018457,10.410130936840767,8.722004570456397,6.175029767732084,8.15144648277894
ENSMUSG00000000244,33.222706930062905,27.92172872858714,33.38548566687397,38.080141903934205,22.673007171457545,30.848740158673913,23.226973156296367,31.225084202087594
ENSMUSG00000000253,1456.8272920086724,1710.1323909107389,1418.1778944901132,1538.828366843648,1842.6247012006545,1865.401037019279,1881.4720895271264,1827.514326602964
ENSMUSG00000000266,2084.8208710947333,2068.244624734862,2530.160099807892,2132.7886837670803,1978.4628855933277,2198.688037331064,2085.075141714281,2127.903245284335
ENSMUSG00000000275,3506.9057684752765,3758.8797789182804,3333.6311842119967,3366.6935397498105,3422.8811777907868,4001.728039724755,3311.296057267639,3305.578582029049
ENSMUSG00000000276,415.7901704135704,428.91177030344454,560.9481896983655,476.10426987560203,510.3071523162611,584.60949670718,589.447458786317,602.701124822753
ENSMUSG00000000278,4468.1297212057,4383.447523143974,4108.984682705384,4360.363607497071,5099.033706373161,4714.771464027739,4578.216357294845,4692.579148891957
ENSMUSG00000000282,693.2353012681101,696.5342256982645,467.61464191918293,583.4727222606775,536.1239218256707,555.9793162773011,573.6580566863512,503.54894238884225
ENSMUSG00000000290,222.28633434243727,286.7163717498399,263.5144782841847,306.8801631449689,231.1215771400273,394.9397654973583,252.7788970296533,315.6698199043632
ENSMUSG00000000295,444.38404966956864,369.8563903561287,432.5849757274451,385.9742604103217,441.9108902421246,381.1324622952684,450.7173588289053,412.66810780190355
ENSMUSG00000000296,759.4978813133079,771.9495065475362,905.4289217811311,762.7198590299092,690.1335950280331,657.8032789004351,677.103789501473,632.2968427826529
ENSMUSG00000000303,9293.133153335664,11564.886211598261,9988.400120496304,10187.947264744455,12050.532304708204,12054.781783830229,12263.54251966442,11912.51337041115
ENSMUSG00000000305,91.50960876933729,109.33230862499443,97.53401446801485,88.2774502714933,76.60169348118433,84.84761876459686,75.47306262072745,75.05302160145345
ENSMUSG00000000308,2512.5929762392834,3003.9739687749147,2366.293171453095,2728.111376454645,2241.352231684008,2060.764710255378,2154.4554052932654,1993.6318662632846
ENSMUSG00000000317,394.4455063191007,368.08727059378197,418.9889411978459,341.4399154031229,323.6049461671471,354.6798218941557,411.4098591833512,317.50626151799787
ENSMUSG00000000318,20.587535810960546,18.169171854583247,20.241869442492302,22.760256624467566,25.250586867070687,30.93436799021015,22.721195272881165,26.528780425863083
ENSMUSG00000000320,154.8540499602718,183.76683106178257,164.4206981212794,159.97844475705762,158.26999833999824,148.4998121573182,165.25231095690566,149.9726212724168
ENSMUSG00000000325,1967.4343828968854,2319.5155949352256,1613.454381760449,1837.9613759954009,2423.0320711258382,2879.8536581711273,2298.385749042041,2251.016030004256
ENSMUSG00000000326,10366.78823209615,10853.9823128235,10235.322927808418,10489.114718178873,8489.918811648231,8807.48975030217,7449.308488413672,7445.6044089739025
ENSMUSG00000000339,1133.2811187755005,1026.0434025665995,1167.82494807993,1141.5794119470875,1144.1828099810843,1016.6822594902602,1098.2876033101022,1083.4969098718805
ENSMUSG00000000340,6787.397087669717,6620.334881302006,7163.722303376233,7161.343046851453,6756.999233341231,6348.436368738353,6998.668946230281,6780.852511719109
ENSMUSG00000000346,9651.954052369078,8860.986515503508,9349.715674251504,8876.81236434925,10136.07569130991,8668.658211317765,9506.004321580966,9101.326592657562
ENSMUSG00000000355,834.8322225970268,699.1030037948439,1111.4545728342362,838.1080481899719,788.2642166298194,763.6850318892776,801.7685267016162,810.9187569589285
ENSMUSG00000000359,289.4736309132297,291.3910917365327,248.52457789431395,297.76342626018976,269.38065894514267,274.8007881836058,276.730230076232,263.24641298435967
ENSMUSG00000000374,4312.136161315806,4268.803283423899,3626.534672911671,4108.60313286705,3984.1839475042702,3837.173339067094,3866.357152945404,3823.3797950721673
ENSMUSG00000000378,388.18891458374685,372.1834221678849,306.1083277806319,363.42381358709247,504.5835411236741,462.91601733993787,477.84284792647395,466.50894775242193
ENSMUSG00000000384,1173.981196810691,1110.3800952038494,877.159142192053,955.6996257848161,1094.1213213295737,898.5524020579439,920.7633961650835,809.6765872613759
ENSMUSG00000000385,7767.4126508713625,7636.670701468933,7447.426489284428,7607.426782832034,7875.645710937884,6907.300908587252,7239.671668692241,7117.495094737581
ENSMUSG00000000386,22.68092349275619,25.08908597365349,45.73253337868895,56.71103951742399,30.918493219834936,60.45522383036024,35.520587509768546,41.68715671843946
ENSMUSG00000000392,22.86777171418474,26.367220185030426,27.721839269361094,24.850972197119926,32.24560328327126,25.894405583862202,35.50719269399136,39.90528838554807
ENSMUSG00000000399,8007.367062227055,7374.7836923367595,7314.465343082597,7520.0362516092955,8335.936555611937,7071.294191766271,7844.764630618164,7335.032680430719
ENSMUSG00000000402,2307.7385244335956,2240.2597653358,2837.716260376939,2314.599244560537,2157.245365065609,2160.4843131137436,2403.415697677728,2026.1987170455639
ENSMUSG00000000409,47.1234782392088,48.45400089683806,39.19117260963148,45.35492996190874,47.10377598672069,53.362644898104364,47.03643946002342,55.699846381264386
ENSMUSG00000000416,907.3677233248751,870.2277475073319,744.9854105107308,771.2817708316161,957.8601952265061,856.9060857749251,727.3749535514042,892.3666811817408
ENSMUSG00000000420,9539.102949792385,8985.463812810793,11527.424006496565,10417.632234129956,7797.289459960637,7619.851717240863,7820.320228116026,8591.254326912172
ENSMUSG00000000439,1537.6674699458154,1460.948699449286,1321.972756802364,1273.4667816444871,1346.8376649022518,1195.6215718656588,1238.417323928003,1241.4402588368205
ENSMUSG00000000440,294.6723194009372,266.16394111200754,326.7802108922299,324.55894878312074,132.15313358824665,198.91475540849595,147.88001475085545,181.87951783249653
ENSMUSG00000000441,3396.9331191874953,3097.429268898621,2950.790762329918,3097.112289898725,3535.16178229717,3175.508902474959,3285.141843352979,3163.699634576849
ENSMUSG00000000486,65.10141727299828,63.62415937214437,48.004423548086564,54.036911424068556,100.28460141898388,60.00998759489054,93.7979031136627,68.4349311303636
ENSMUSG00000000489,461.49647340758634,610.3483757962326,474.91229257924226,558.462164977761,627.72059313717,657.723716344922,632.6593884349011,694.4178981117025
ENSMUSG00000000530,824.5314037420932,835.1436270087322,676.958411651239,792.0646568436499,946.7649217751937,814.8123048754339,822.8205082270456,774.4777278033982
ENSMUSG00000000531,108.96041100043561,118.28437004135549,81.7910785256586,112.48703837272724,155.796670292853,105.56937554724925,118.36644905216976,123.5970569566421
ENSMUSG00000000532,2266.97696175285,2398.152852093112,2124.623426432178,2223.604357936874,2217.376849807152,2163.707004259465,2384.1583695783397,2059.921635166143
ENSMUSG00000000538,5091.415505677709,5144.027465968176,3812.0472411591536,4726.691561774393,5411.703398690835,5022.813308265792,5524.881176204256,4913.52103861781
ENSMUSG00000000555,259.00442830222386,320.38407566728654,202.79636853156478,264.4855217148791,238.03658132526158,273.4711491569199,250.71151406709345,248.5888917291627
ENSMUSG00000000561,1457.3034686549634,1333.660506714411,1442.78894416906,1371.101305749097,1454.6722124569756,1314.163745694227,1318.502381607269,1411.5478216290471
ENSMUSG00000000563,36484.583799998,31665.810051990567,45840.218162001765,35094.75687877818,31201.13795633129,30086.30076256405,30439.921719105798,30493.46107003928
ENSMUSG00000000567,12.722978841008873,18.681860820968385,16.19662287295327,19.719984849464307,38.247236294763994,55.62722763021534,44.697732327208335,43.69316923972085
ENSMUSG00000000568,1448.3165900823842,1906.7162135309168,1871.3532169809266,1517.0131704532191,1524.2618363007364,2062.01651110054,1486.468686234641,1596.2813489202258
ENSMUSG00000000579,206.167889498438,149.33803879791765,189.94913093928562,175.9731148671554,103.8129103909606,98.43337094013165,102.86746527528094,118.05462980254588
ENSMUSG00000000581,2183.3433406459244,1908.0131009592521,2139.29314933138,2041.439611978066,2511.8636903497277,2095.108321091363,2252.1827082225354,2356.187462112567
ENSMUSG00000000594,17318.975453065123,16385.58528673191,15694.36041651943,18292.82659290367,15688.732515698312,15269.866058902215,15126.71874175049,16249.710581235311
ENSMUSG00000000600,2238.780758541119,2114.653226769709,2733.770617323566,2439.975338092829,2068.7928441462886,2314.701196198547,2142.235970130817,2422.9595617909263
ENSMUSG00000000605,6012.272259531523,5879.300625525914,7043.532296956562,6542.306531361708,6012.834947955893,6135.580853983431,6157.988460831868,6373.889288821234
ENSMUSG00000000628,70.36358536985185,80.63270542093056,119.09046814514684,117.51088909342961,93.36863700918354,342.9410386373487,84.99872467661784,96.40841638971321
